参数类别,参数名称,类型,默认值,说明
刺激呈现,`maxSt`,`int`,200,单个刺激最大展示时间，单位毫秒
刺激呈现,`isi`,`int`,1000,刺激间隔时间，单位毫秒
刺激序列,`endMethod`,`int`,2,题目的结束方式（1=按时间结束，2=按刺激个数结束）
刺激序列,`duration`,`int`,30000,题目整体持续时间（`endMethod`=1时生效，单位毫秒）
刺激序列,`quantity`,`int`,100,刺激总个数（`endMethod`=2时需全部做完）
刺激序列,`seq`,`char`,`json`,所有可能的刺激（`stim`）和刺激类型（`scat`）序列
操作反馈,`feedbackCorrectError`,`bool`,0,控制正式测评时候是（1）否（0）需要反馈正确与错误
操作反馈,`feedbackNoResponse`,`bool`,0,控制正式测评时候是（1）否（0）需要提示用户未操作
操作反馈,`feedbackSound`,`bool`,1,控制正式测评时候是（1）否（0）给出声音反馈
操作反馈,`feedbackVisual`,`bool`,1,控制正式测评时候是（1）否（0）给出视觉反馈
