参数类别,参数名称,类型,默认值,说明
刺激呈现,`maxSt`,`int`,300,单个数字最大展示时间，单位毫秒
刺激呈现,`isi`,`int`,1000,数字呈现之间的间隔时间，单位毫秒
刺激呈现,`iti`,`int`,1000,试次间隔时间，即用户操作完成到下一个试次开始之间的间隔时间，单位毫秒
刺激序列,`endMethod`,`int`,2,题目的结束方式（1=按时间结束，2=按刺激个数结束）
刺激序列,`duration`,`int`,30000,题目整体持续时间（`endMethod`=1时生效，单位毫秒）
刺激序列,`seq`,`char`,`json`,包含了联系阶段和正式测试阶段的数字呈现序列。
操作反馈,`feedbackCorrectError`,`bool`,0,控制正式测评时候是（1）否（0）需要反馈正确与错误
操作反馈,`feedbackNoResponse`,`bool`,1,本题目将会一直等待用户操作，但是用户操作完成时需要给一个提示。
操作反馈,`feedbackSound`,`bool`,1,控制正式测评时候是（1）否（0）给出声音反馈
操作反馈,`feedbackVisual`,`bool`,1,控制正式测评时候是（1）否（0）给出视觉反馈
