参数类别,参数名称,类型,默认值,说明
刺激呈现,`flkCnt`,`int`,3,目标刺激的闪烁次数
刺激呈现,`flkTime`,`int`,500,单次闪烁的时间
刺激呈现,`movTime`,`int`,3000,目标刺激飞舞时间
刺激呈现,`iti`,`int`,500,试次间隔时间，即用户操作结束后到下一试次开始的间隔
刺激序列,`endMethod`,`int`,2,题目的结束方式（1=按时间结束，2=按刺激个数结束）
刺激序列,`duration`,`int`,30000,题目整体持续时间（`endMethod`=1时生效，单位毫秒）
操作反馈,`feedbackCorrectError`,`bool`,1,控制正式测评时候是（1）否（0）需要反馈正确与错误
操作反馈,`feedbackNoResponse`,`bool`,1,控制正式测评时候是（1）否（0）需要提示用户未操作
操作反馈,`feedbackSound`,`bool`,1,控制正式测评时候是（1）否（0）给出声音反馈
操作反馈,`feedbackVisual`,`bool`,1,控制正式测评时候是（1）否（0）给出视觉反馈
