type,left,right
add,10,10
add,11,10
add,12,10
add,13,10
add,14,10
add,15,10
add,16,10
add,17,10
add,18,10
add,19,10
add,20,10
add,21,10
add,22,10
add,23,10
add,24,10
add,25,10
add,26,10
add,27,10
add,28,10
add,29,10
add,30,10
add,31,10
add,32,10
add,33,10
add,34,10
add,35,10
add,36,10
add,37,10
add,38,10
add,39,10
add,40,10
add,41,10
add,42,10
add,43,10
add,44,10
add,45,10
add,46,10
add,47,10
add,48,10
add,49,10
add,50,10
add,51,10
add,52,10
add,53,10
add,54,10
add,55,10
add,56,10
add,57,10
add,58,10
add,59,10
add,60,10
add,61,10
add,62,10
add,63,10
add,64,10
add,65,10
add,66,10
add,67,10
add,68,10
add,69,10
add,70,10
add,71,10
add,72,10
add,73,10
add,74,10
add,75,10
add,76,10
add,77,10
add,78,10
add,79,10
add,80,10
add,81,10
add,82,10
add,83,10
add,84,10
add,85,10
add,86,10
add,87,10
add,88,10
add,89,10
add,90,10
add,91,10
add,92,10
add,93,10
add,94,10
add,95,10
add,96,10
add,97,10
add,98,10
add,99,10
add,10,11
add,11,11
add,12,11
add,13,11
add,14,11
add,15,11
add,16,11
add,17,11
add,18,11
add,19,11
add,20,11
add,21,11
add,22,11
add,23,11
add,24,11
add,25,11
add,26,11
add,27,11
add,28,11
add,29,11
add,30,11
add,31,11
add,32,11
add,33,11
add,34,11
add,35,11
add,36,11
add,37,11
add,38,11
add,39,11
add,40,11
add,41,11
add,42,11
add,43,11
add,44,11
add,45,11
add,46,11
add,47,11
add,48,11
add,49,11
add,50,11
add,51,11
add,52,11
add,53,11
add,54,11
add,55,11
add,56,11
add,57,11
add,58,11
add,59,11
add,60,11
add,61,11
add,62,11
add,63,11
add,64,11
add,65,11
add,66,11
add,67,11
add,68,11
add,69,11
add,70,11
add,71,11
add,72,11
add,73,11
add,74,11
add,75,11
add,76,11
add,77,11
add,78,11
add,79,11
add,80,11
add,81,11
add,82,11
add,83,11
add,84,11
add,85,11
add,86,11
add,87,11
add,88,11
add,89,11
add,90,11
add,91,11
add,92,11
add,93,11
add,94,11
add,95,11
add,96,11
add,97,11
add,98,11
add,99,11
add,10,12
add,11,12
add,12,12
add,13,12
add,14,12
add,15,12
add,16,12
add,17,12
add,18,12
add,19,12
add,20,12
add,21,12
add,22,12
add,23,12
add,24,12
add,25,12
add,26,12
add,27,12
add,28,12
add,29,12
add,30,12
add,31,12
add,32,12
add,33,12
add,34,12
add,35,12
add,36,12
add,37,12
add,38,12
add,39,12
add,40,12
add,41,12
add,42,12
add,43,12
add,44,12
add,45,12
add,46,12
add,47,12
add,48,12
add,49,12
add,50,12
add,51,12
add,52,12
add,53,12
add,54,12
add,55,12
add,56,12
add,57,12
add,58,12
add,59,12
add,60,12
add,61,12
add,62,12
add,63,12
add,64,12
add,65,12
add,66,12
add,67,12
add,68,12
add,69,12
add,70,12
add,71,12
add,72,12
add,73,12
add,74,12
add,75,12
add,76,12
add,77,12
add,78,12
add,79,12
add,80,12
add,81,12
add,82,12
add,83,12
add,84,12
add,85,12
add,86,12
add,87,12
add,88,12
add,89,12
add,90,12
add,91,12
add,92,12
add,93,12
add,94,12
add,95,12
add,96,12
add,97,12
add,98,12
add,99,12
add,10,13
add,11,13
add,12,13
add,13,13
add,14,13
add,15,13
add,16,13
add,17,13
add,18,13
add,19,13
add,20,13
add,21,13
add,22,13
add,23,13
add,24,13
add,25,13
add,26,13
add,27,13
add,28,13
add,29,13
add,30,13
add,31,13
add,32,13
add,33,13
add,34,13
add,35,13
add,36,13
add,37,13
